catalogue_group,resource_type,title,url,last_modified,page_detail,synopsis
Course,Course,Supporting children and families in general practice after a natural disaster or community trauma,https://emergingminds.com.au/training/online-training/supporting-children-families-in-general-practice-after-a-natural-disaster-or-community-trauma/,2023-03-14T02:45:49+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",A free online course for GPs to help them support children and families after a natural disaster or community trauma.
Course,Course,Supporting children in early learning following a disaster or community trauma,https://emergingminds.com.au/training/online-training/supporting-children-in-early-learning-following-a-disaster-or-community-trauma/,2023-03-14T02:49:12+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",A free e-learning course for early learning educators working with children who've experienced a natural disaster or community trauma.
Course,Course,Supporting children in general practice using focused psychological strategies,https://emergingminds.com.au/training/online-training/supporting-children-in-general-practice-using-focused-psychological-strategies/,2025-10-01T07:21:23+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free online course aims to support GPs to use focused psychological strategies to support children aged 5–12 years.
Course,Course,Supporting children who disclose trauma,https://emergingminds.com.au/training/online-training/supporting-children-who-disclose-trauma/,2023-03-14T02:52:21+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn about the strategies to support children to move away from the self-blame and secrecy associated with experiences of trauma or abuse.
Course,Course,Supporting children who have experienced trauma,https://emergingminds.com.au/training/online-training/supporting-children-who-have-experienced-trauma/,2023-04-13T00:43:57+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free e-learning course is designed for practitioners who work specifically with children who have experienced trauma.
Course,Course,Supporting children’s mental health in out-of-home care,https://emergingminds.com.au/training/online-training/supporting-childrens-mental-health-in-out-of-home-care/,2025-04-16T06:40:13+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Develop your understanding of how children's mental health and wellbeing are impacted by removal and placement in out-of-home care.
Course,Course,Supporting children’s mental health when working with separating parents,https://emergingminds.com.au/training/online-training/supporting-childrens-mental-health-when-working-with-separating-parents/,2023-07-13T01:56:20+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn about the key domains that support children's mental health when working with parents who are going through separation or divorce.
Course,Course,Supporting children’s resilience in general practice,https://emergingminds.com.au/training/online-training/supporting-childrens-resilience-in-general-practice/,2024-06-17T05:54:52+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free online course for general practitioners provides a conversation guide to assist in engaging patients as parents.
Course,Course,Supporting infants and toddlers,https://emergingminds.com.au/training/online-training/supporting-infants-toddlers/,2023-03-14T02:39:56+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This e-learning course helps participants to understand the impact of mental illness on the family through the antenatal period.
Course,Course,Supporting parents to promote children’s social and emotional wellbeing,https://emergingminds.com.au/training/online-training/supporting-parents-to-promote-childrens-social-and-emotional-wellbeing/,2023-03-14T02:46:11+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This free e-learning course is for health practitioners working with parent-clients, where concerns about the client’s children are raised."
